unique_trs_id,Latitude,Longitude,BatteryisCharging,Battery Percentage,CO2,Preasure Hg,Humidity %,Temperature C,Speed KM,Date,Time
-LuWlkqahWpIIaTRg5xi,25.03887939,55.12608542,,,,,,,,,,
-LuWmILj_tCcC1TJkqIn,25.04020691,55.11533867,,,,,,,,,,
-LuWmKI7tD4L2msLzsFY,25.04058838,55.11554993,,,,,,,,,,
-LuWmqs2HdpUCwgzJ8yN,25.04338074,55.117064,,,,,,,,,,
-LuWmtPPAfTb2XunqeRq,25.043396,55.11699124,,,,,,,,,,
-LuXBp26Gd4NI4AMszWs,,,False,68.99999976158142,,,,,,,,
-LuXC-A8RF8InRILpuDK,25.04057312,55.12893989,,,,,,,,,,
-LuXC0N0iYprVu-pdGqh,25.04057312,55.12894092,,,,,,,,,,
-LuXoRipRet4_IAq8aCD,25.04060364,55.12912074,,,,,,,,,,
-LuXoUtteMjjl5UluonO,25.04052734,55.12882028,,,,,,,,,,
-LuXoYg7f_LkJm8fmvRx,25.04060364,55.1289319,,,,,,,,,,
-LuXojPO_NQ98v-aACWi,25.04039001,55.12872999,,,,,,,,,,
-LuYXxSEl4h4iaTwpdJf,,,False,60.00000238418579,,,,,,,,
-LuYY3410jGB_mCCuRnY,25.20985413,55.25979146,,,,,,,,,,
-LuYYDYz7BE4NoaBxvX8,25.21095276,55.25975587,,,,,,,,,,
-LuYj0Z8ylemHYlG1E0p,25.20992084,55.25975735,,,,,,,,,,
-LuYj3k4Db9-gmbEDR55,25.20986938,55.25972508,,,,,,,,,,
-LuYj4DKHQjoDb4Psc0-,25.20987805,55.25972508,,,,,,,,,,
-LuZ2lmIPQ0DyGn6WPiC,25.11120605,55.18500284,,,,,,,,,,
-LuacHN2SvxHy2aG21FV,,,False,37.00000047683716,,,,,,,,
-Lucq1AbzEgLLJxGdqY5,25.04055786,55.12888617,,,,,,,,,,
-Lug8QieLtc-g2xKCR-w,25.04371643,55.11857092,,,,,,,,,,
